book_id,title,author_id,genre,price,publish_date
1,Book_1,2,Mystery,73.57,1980-12-31
2,Book_2,1,Non-Fiction,41.1,1982-12-31
3,Book_3,10,Fiction,10.63,1984-12-31
4,Book_4,9,Non-Fiction,46.31,1986-12-31
5,Book_5,7,Science,31.13,1988-12-31
6,Book_6,4,Non-Fiction,83.7,1990-12-31
7,Book_7,6,Non-Fiction,40.36,1992-12-31
8,Book_8,2,Non-Fiction,84.48,1994-12-31
9,Book_9,7,Fantasy,10.05,1996-12-31
10,Book_10,2,Science,37.7,1998-12-31
11,Book_11,10,Non-Fiction,31.7,2000-12-31
12,Book_12,8,Non-Fiction,31.02,2002-12-31
13,Book_13,8,Non-Fiction,16.14,2004-12-31
14,Book_14,1,Fiction,26.84,2006-12-31
15,Book_15,8,Fantasy,60.0,2008-12-31
16,Book_16,2,Fiction,36.22,2010-12-31
17,Book_17,6,Fantasy,47.57,2012-12-31
18,Book_18,1,Non-Fiction,43.92,2014-12-31
19,Book_19,5,Science,88.83,2016-12-31
20,Book_20,7,Mystery,91.48,2018-12-31
