movie_id,title,genre,release_date,budget
1,Movie_1,Horror,2000-12-31,86600583.11
2,Movie_2,Comedy,2001-12-31,12747400.83
3,Movie_3,Action,2002-12-31,18015774.7
4,Movie_4,Drama,2003-12-31,48176120.61
5,Movie_5,Drama,2004-12-31,74050161.1
6,Movie_6,Action,2005-12-31,14761218.31
7,Movie_7,Drama,2006-12-31,44567036.43
8,Movie_8,Drama,2007-12-31,48802276.17
9,Movie_9,Action,2008-12-31,22016278.53
10,Movie_10,Action,2009-12-31,12440279.29
11,Movie_11,Comedy,2010-12-31,83805671.38
12,Movie_12,Comedy,2011-12-31,50744099.33
13,Movie_13,Action,2012-12-31,2423742.36
14,Movie_14,Sci-Fi,2013-12-31,80495148.83
15,Movie_15,Drama,2014-12-31,98098586.74
16,Movie_16,Comedy,2015-12-31,60986693.35
17,Movie_17,Drama,2016-12-31,50867130.32
18,Movie_18,Horror,2017-12-31,87963170.44
19,Movie_19,Action,2018-12-31,95299162.18
20,Movie_20,Sci-Fi,2019-12-31,75699154.67
